TIPO_CONST;COLAP_TOTA;COLAP_PAR;CIMEN_AFEC;FUERA_PLOM;AGR_MUROS;AGR_MAMP;DASOBCH;OTROS;PANCARTA
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_mixta;no;si;no;mode;mode;mode;mode;mode;USO RESTRINGIDO
tipconst_estmuro;no;si;si;mode;sev;mode;mode;poca;USO RESTRINGIDO
tipconst_estmuro;no;si;no;poca;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;si;no;mode;mode;mode;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;si;mode;mode;mode;mode;mode;USO RESTRINGIDO
tipconst_estmuro;no;si;no;poca;sev;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;sev;mode;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_mixta;no;si;no;mode;sev;sev;sev;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_mixta;no;no;no;poca;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_estmad;si;no;no;mode;sev;mode;sev;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;si;si;mode;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_manrest;no;si;si;sev;sev;sev;sev;mode;INSEGURO
tipconst_mixta;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;si;si;mode;sev;mode;mode;poca;INSEGURO
tipconst_manrest;si;no;no;sev;sev;sev;sev;sev;INSEGURO
tipconst_mixta;si;no;si;mode;sev;mode;poca;poca;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;si;sev;sev;mode;mode;poca;INSEGURO
tipconst_estmad;no;si;no;mode;mode;poca;poca;poca;USO RESTRINGIDO
